,library size
0,8.285009
1,8.011355
2,7.9494443
3,7.9423623
4,8.1101265
5,8.501064
6,7.8018003
7,7.7475967
8,8.67744
9,8.036897
10,8.341649
11,8.269501
12,8.301025
13,8.707483
14,8.553911
15,7.9892216
16,8.687274
17,8.7904215
18,8.457019
19,8.813141
20,8.898502
21,8.240649
22,8.077758
23,8.005367
24,8.0680895
25,10.030781
26,8.855093
27,8.708805
28,8.856803
29,9.123474
30,9.528139
31,9.5785885
32,9.656883
33,10.007082
34,8.629092
35,8.968905
36,8.726968
37,9.289336
38,10.162114
39,8.70417
40,9.918819
41,9.951706
42,9.8494005
43,9.057772
44,9.585415
45,9.3957405
46,9.528139
47,8.862484
48,8.454253
49,9.723224
50,8.868132
51,9.492206
52,9.770927
53,9.128371
54,10.327055
55,9.651559
56,9.674704
57,8.846929
58,9.163249
59,9.962652
60,8.03722
61,9.179159
62,8.362409
63,8.099858
64,9.52252
65,9.051228
66,9.652138
67,9.144948
68,8.887791
69,9.565214
70,9.666372
71,8.38229
72,10.685858
73,9.933823
74,8.711773
75,11.11641
76,8.702012
77,9.826984
78,8.283747
79,9.495745
80,9.151863
81,10.546104
82,9.674704
83,9.672186
84,10.002745
85,9.592128
86,9.617737
87,9.608042
88,8.185629
89,8.351139
90,8.244334
91,8.271293
92,9.39823
93,9.277251
94,10.174316
95,9.783352
96,8.546557
97,8.547528
98,8.135933
99,9.671997
100,9.662625
101,9.463276
102,9.042513
103,9.898625
104,9.2408695
105,9.743026
106,8.89041
107,8.9668665
108,9.633449
109,9.84919
110,8.931024
111,9.848503
112,10.029724
113,9.050172
114,9.497172
115,9.575053
116,7.904335
117,10.001567
118,9.785436
119,9.619997
120,8.473032
121,8.525757
122,9.73572
123,9.7172785
124,9.18338
125,9.684772
126,8.815815
127,9.362632
128,9.39823
129,9.057305
130,9.202309
131,10.174544
132,8.16962
133,9.278653
134,9.52923
135,9.627997
136,8.705663
137,9.260463
138,8.410943
139,8.731659
140,9.690603
141,10.578343
142,10.034779
143,9.968198
144,9.701004
145,9.423838
146,9.497473
147,10.394488
148,8.285261
149,8.737292
150,9.300912
151,9.890453
152,9.692149
153,9.526829
154,10.059765
155,8.7489395
156,8.991687
157,9.380168
158,9.497698
159,10.2334385
160,9.758982
161,9.346269
162,10.201738
163,9.822657
164,8.930494
165,10.455331
166,9.9734335
167,9.683963
168,9.184099
169,9.770528
170,10.990989
171,8.687442
172,9.904937
173,9.295692
174,9.890453
175,10.065011
176,9.057305
177,9.312265
178,9.721186
179,8.133588
180,10.268617
181,11.016989
182,9.850245
183,9.050641
184,9.514215
185,9.266153
186,9.050055
187,8.98907
188,9.371694
189,10.23146
190,10.351246
191,10.0386305
192,9.704122
193,9.338294
194,10.013149
195,9.635151
196,10.167889
197,8.66164
198,8.665441
199,9.45681
200,9.330077
201,9.712327
202,9.208339
203,10.037363
204,8.542471
205,10.346216
206,9.680469
207,9.596147
208,8.35538
209,9.780359
210,9.084777
211,9.905286
212,10.09514
213,10.086018
214,9.18492
215,9.374837
216,9.137124
217,9.912943
218,8.588024
219,10.367661
220,8.764366
221,10.164235
222,10.453601
223,9.925347
224,9.830111
225,9.017968
226,9.47255
227,9.690108
228,9.340667
229,8.515391
230,9.001347
231,10.077525
232,10.119365
233,9.770242
234,9.641408
235,9.226804
236,10.175917
237,9.295417
238,8.1953335
239,9.141419
240,10.183956
241,9.576718
242,8.989445
243,9.353921
244,10.009738
245,9.998661
246,9.070619
247,9.813508
248,9.4513235
249,8.637107
250,9.868948
251,8.870382
252,9.023408
253,8.943506
254,9.553718
255,9.260463
256,8.546169
257,9.27416
258,8.730206
259,9.280892
260,10.228754
261,9.823307
262,8.123558
263,9.430119
264,9.147826
265,10.109567
266,8.76202
267,9.7177
268,9.523471
269,8.921057
270,9.904986
271,10.120171
272,9.622052
273,9.5906925
274,8.684739
275,10.078827
276,9.070963
277,10.060576
278,9.166284
279,9.150484
280,9.17108
281,9.128154
282,9.717218
283,9.650271
284,9.028818
285,8.871084
286,9.685953
287,10.002745
288,9.836599
289,9.37297
290,9.760426
291,7.9522634
292,10.413643
293,9.966979
294,9.217912
295,8.900685
296,8.409608
297,9.130648
298,9.128696
299,9.714624
300,10.155763
301,10.31135
302,8.631058
303,9.576996
304,10.378852
305,9.663071
306,10.414963
307,9.536185
308,8.70963
309,9.777867
310,10.209206
311,8.425955
312,9.871842
313,8.906936
314,9.7237625
315,9.541225
316,9.140669
317,9.53986
318,9.912051
319,9.92569
320,9.847922
321,9.559729
322,8.130059
323,9.611999
324,8.424419
325,10.022026
326,8.900549
327,9.6715555
328,9.963548
329,9.135186
330,10.278287
331,10.064287
332,9.203618
333,8.957897
334,10.277841
335,10.098396
336,10.143803
337,9.542805
338,9.273128
339,8.768107
340,9.292197
341,10.052424
342,10.221686
343,8.825413
344,10.257098
345,9.579556
346,9.663579
347,10.000841
348,9.403767
349,9.23591
350,10.354531
351,9.878067
352,10.243631
353,9.312536
354,9.591445
355,9.380758
356,8.7936125
357,8.390722
358,10.073188
359,9.850087
360,9.639001
361,9.593355
362,10.158943
363,9.801178
364,10.715462
365,8.262043
366,9.264355
367,9.124674
368,9.529085
369,8.851664
370,7.969012
371,9.127828
372,9.230143
373,10.342742
374,9.105758
375,8.361709
376,8.818335
377,8.579792
378,8.79179
379,9.228082
380,9.05649
381,9.460476
382,9.480444
383,10.718786
384,9.41589
385,8.109526
386,10.077987
387,8.728426
388,9.535391
389,8.820552
390,8.800114
391,9.574428
392,8.431853
393,9.625558
394,8.838841
395,9.357553
396,8.069029
397,8.483223
398,8.876964
399,9.003808
400,9.327767
401,8.512984
402,9.889135
403,9.171807
404,9.6360655
405,9.620395
406,10.095883
407,8.925986
408,8.104704
409,9.328123
410,7.976252
411,7.9330797
412,9.991544
413,7.7668405
414,9.360913
415,9.434204
416,8.694502
417,10.349647
418,9.920148
419,9.791382
420,9.25129
421,8.504311
422,9.618003
423,9.134539
424,9.333443
425,8.939188
426,8.969415
427,9.612734
428,10.030032
429,9.472089
430,9.408043
431,10.069002
432,8.503702
433,8.183956
434,7.9168077
435,10.17298
436,8.807622
437,7.752335
438,9.031812
439,7.967973
440,10.098314
441,8.77663
442,9.123584
443,9.896715
444,8.609591
445,10.545973
446,10.018556
447,9.784423
448,9.172223
449,9.759849
450,9.41532
451,9.568015
452,10.249273
453,10.673527
454,9.819508
455,10.277634
456,9.414016
457,9.27968
458,9.34592
459,10.420762
460,9.333
461,10.575411
462,9.454071
463,10.388842
464,9.843684
465,8.683386
466,10.030076
467,9.632204
468,8.939974
469,9.322418
470,9.988426
471,8.847073
472,10.018824
473,9.340667
474,10.115893
475,10.247715
476,10.294888
477,10.721261
478,9.426016
479,9.998025
480,9.505395
481,9.33521
482,10.08088
483,10.300013
484,9.770299
485,9.97152
486,9.921328
487,9.927937
488,9.723883
489,9.784423
490,10.086892
491,9.393162
492,10.084183
493,9.940831
494,9.488048
495,10.345477
496,9.773265
497,10.23009
498,8.886685
499,10.421388
500,9.009814
501,9.255505
502,10.369923
503,9.604745
504,10.441559
505,9.471165
506,10.269831
507,9.350798
508,9.603935
509,10.73086
510,9.954703
511,9.435003
512,9.854403
513,9.564933
514,9.511408
515,10.123947
516,9.755161
517,9.680469
518,10.686476
519,10.400011
520,9.014325
521,10.186823
522,10.813418
523,9.972967
524,10.220777
525,10.378541
526,9.154722
527,8.8775215
528,10.213285
529,9.339788
530,9.7379055
531,10.624444
532,10.060192
533,10.514204
534,10.081467
535,9.77298
536,9.895758
537,9.9229965
538,10.037231
539,9.24116
540,9.900934
541,10.304141
542,10.151636
543,10.066499
544,10.323645
545,10.5828905
546,9.424241
547,10.108426
548,10.366813
