,nozero
0,7.50769
1,7.183871
2,7.1770186
3,7.1608458
4,7.355002
5,7.6861625
6,6.9716687
7,6.9536843
8,7.810758
9,7.21524
10,7.536897
11,7.4054956
12,7.538495
13,7.853216
14,7.788626
15,7.174724
16,7.9186287
17,8.0050335
18,7.7146773
19,7.972466
20,8.006034
21,7.425954
22,7.2902927
23,7.283448
24,7.2413664
25,8.986571
26,7.9796815
27,7.9543724
28,8.099251
29,8.303009
30,8.6602545
31,8.696343
32,8.759982
33,9.090318
34,7.8800483
35,8.201386
36,8.001355
37,8.499436
38,9.160204
39,7.962764
40,8.95519
41,9.12129
42,8.974112
43,8.300529
44,8.735686
45,8.489822
46,8.618304
47,8.097731
48,7.720018
49,8.809415
50,8.105308
51,8.661986
52,8.9250555
53,8.349484
54,9.273128
55,8.728103
56,8.683555
57,8.078068
58,8.368462
59,9.011767
60,7.3336763
61,8.339023
62,7.603898
63,7.3938785
64,8.645059
65,8.277412
66,8.805525
67,8.323608
68,8.123261
69,8.623893
70,8.822617
71,7.6463537
72,9.494541
73,9.018696
74,7.933797
75,9.86251
76,7.870166
77,8.881698
78,7.463937
79,8.596559
80,8.363576
81,9.455715
82,8.782016
83,8.748464
84,9.053102
85,8.72372
86,8.703506
87,8.770128
88,7.4483337
89,7.643483
90,7.4436636
91,7.505492
92,8.61975
93,8.494334
94,9.196749
95,8.887791
96,7.7137847
97,7.7497535
98,7.394493
99,8.683724
100,8.8208475
101,8.653995
102,8.197264
103,8.965335
104,8.413165
105,8.820994
106,8.124447
107,8.120886
108,8.738415
109,8.986822
110,8.151045
111,8.958282
112,9.102199
113,8.284252
114,8.599326
115,8.693161
116,7.167038
117,9.131621
118,8.930229
119,8.799662
120,7.721349
121,7.7807207
122,8.901639
123,8.683046
124,8.381145
125,8.763741
126,7.9466176
127,8.551015
128,8.535623
129,8.279951
130,8.418919
131,9.25225
132,7.4395595
133,8.480529
134,8.657476
135,8.701014
136,7.9280457
137,8.456806
138,7.580189
139,7.9543724
140,8.836083
141,9.530756
142,9.171703
143,9.11383
144,8.76655
145,8.585226
146,8.625868
147,9.446281
148,7.5522375
149,7.9946322
150,8.522977
151,8.959697
152,8.833171
153,8.665096
154,9.149103
155,7.974189
156,8.194781
157,8.515992
158,8.659387
159,9.324919
160,8.85723
161,8.504918
162,9.263881
163,8.917981
164,8.157944
165,9.4154825
166,9.057073
167,8.795885
168,8.282736
169,8.837972
170,9.827254
171,7.924434
172,9.017484
173,8.466321
174,8.93827
175,9.066586
176,8.214736
177,8.491055
178,8.731337
179,7.4012313
180,9.2911825
181,9.873956
182,8.926385
183,8.224968
184,8.578288
185,8.396606
186,8.2623005
187,8.235361
188,8.539932
189,9.287024
190,9.299358
191,9.018696
192,8.777555
193,8.528529
194,9.086816
195,8.640295
196,9.215726
197,7.8995247
198,7.8972964
199,8.583168
200,8.510773
201,8.800566
202,8.408494
203,9.129564
204,7.7798853
205,9.39441
206,8.820256
207,8.665268
208,7.616776
209,8.780327
210,8.2948
211,8.9994955
212,9.136371
213,9.141633
214,8.394799
215,8.568076
216,8.339023
217,8.979165
218,7.823646
219,9.357294
