,peak mean
0,0.12586363
1,0.03710718
2,0.041091196
3,0.10928861
4,0.020503009
5,0.11114392
6,0.045059524
7,0.103235066
8,0.17007717
9,0.8740854
10,0.0061951503
11,0.19935182
12,0.032104645
13,0.53618705
14,0.0061951503
15,0.014396137
16,0.04307733
17,0.04406886
18,0.012352158
19,0.24252972
20,0.018979844
21,0.034108683
22,0.13178213
23,0.019487824
24,0.19040215
25,0.28196907
26,0.07912602
27,0.06369657
28,0.06660788
29,0.031101173
30,0.25584963
31,0.1134582
32,0.08389933
33,0.0108165145
34,0.1421683
35,0.13811705
36,0.036608074
37,0.03710718
38,0.26184615
39,0.07625109
40,0.08959744
41,0.17095049
42,0.18396027
43,0.05245776
44,0.01796299
45,0.14171898
46,0.12128694
47,0.056381315
48,0.13087389
49,0.26661757
50,0.30970573
51,0.047531728
52,0.028084585
53,0.3783434
54,0.17530592
55,0.22531623
56,0.34406292
57,0.53193724
58,0.12677641
59,0.15466855
60,0.23886605
61,0.018979844
62,0.0108165145
63,0.8326156
64,0.17182316
65,0.025058875
66,0.21701413
67,0.4237664
68,0.013374727
69,0.3303869
70,0.033107225
71,0.027580958
72,0.028084585
73,0.11622829
74,0.018471487
75,0.0051653264
76,0.078647465
77,0.015416503
78,0.008251741
79,0.2729441
80,0.37834334
81,0.39173335
82,0.013885563
83,0.61116093
84,0.018471487
85,0.015926413
86,0.021010218
87,0.025058875
88,0.029091086
89,0.008765199
90,0.004650017
91,0.004650017
92,0.012352158
93,0.05784861
94,0.013374727
95,0.41764614
96,0.0061951503
97,0.031101173
98,0.012863516
99,0.015926413
100,0.07816867
101,0.059313864
102,0.009791323
103,0.026572816
104,0.4268128
105,0.76096463
106,0.46559176
107,0.011328658
108,0.42105108
109,0.022023978
110,0.0395991
111,0.373365
112,0.14530809
113,0.60184216
114,0.74141854
115,0.31953564
116,0.011328658
117,0.06806025
118,0.10183283
119,0.030096693
120,0.34443012
121,0.21868004
122,0.12996483
123,0.0041343225
124,0.024048187
125,0.041091196
126,0.063696675
127,0.26859874
128,0.0061951503
129,0.514753
130,0.62011427
131,0.0031023729
132,0.012352158
133,0.17269494
134,0.12814404
135,0.011328658
136,0.009791323
137,0.008765199
138,0.04802541
139,0.008765199
140,0.43857157
141,0.08817593
142,0.11807079
143,0.0077380193
144,0.011840538
145,0.05491176
146,0.15599859
147,0.6440591
